"","AF_6","AF_8","AF_10","AF_12","AF_14","AF_17","AF_19","AF_21","AF_23","AF_25","GF_7","GF_9","GF_11","GF_13","GF_15","GF_18","GF_20","GF_22","GF_24","GF_26"
"Label","AF","AF","AF","AF","AF","AF","AF","AF","AF","AF","GF","GF","GF","GF","GF","GF","GF","GF","GF","GF"
"9.49_563.5519m/z","-0.02306541"," 1.60001852","-0.87588925"," 0.59229491"," 0.75574632"," 0.07581897","-0.48186445","-0.28315399","-0.06493478"," 0.43829112"," 0.81022182"," 0.58831101"," 1.23129215"," 0.55742947"," 0.62294948","-1.80837442"," 0.40882125","-0.37295781","-1.47811821","-2.29283671"
"10.62_559.5199m/z","-2.0648522"," 1.5297182","-0.1645879"," 1.2437387"," 0.1823362","-1.4008181","-0.3279617"," 0.4820619","-0.4711368","-1.0608728"," 1.2699498"," 0.3940164"," 1.3305224"," 0.3355139"," 0.3027947","-0.4724706"," 0.8754190"," 0.1795879","-1.2154032","-0.9475558"
"9.62_559.3798m/z","-1.0250202"," 0.1370974"," 1.4146677"," 0.2384355"," 0.7822615","-2.5340350","-0.3522622"," 1.0857590","-0.5649345","-0.3768947"," 0.2630545"," 0.2796402"," 1.3567388","-0.5290506"," 1.2487632","-1.2845986"," 0.3185732"," 0.7627724","-0.9008692","-0.3200983"
"10.01_558.3233m/z"," 1.48056737","-0.56938924"," 0.82429973"," 0.70453407"," 0.42342055"," 1.55849647"," 2.27325803"," 0.18233175","-0.05119769","-0.16110963","-0.41098633","-0.65665634","-0.27681285","-0.82734903","-0.02769688"," 0.34310839","-0.97300268","-1.57330636","-1.19806154","-1.06444779"
"9.85_558.2997m/z"," 0.25843820"," 0.33058232"," 0.92185162","-0.41374699"," 1.38854210","-0.97456065"," 2.23657124","-0.65390299"," 0.29736359"," 0.16776731","-1.12106856"," 0.46766970"," 0.03128436","-0.27778272"," 0.98779017","-0.25818160","-1.61162646"," 0.12515451"," 0.13533873","-2.03748388"
"8.62_556.7798m/z","-0.44189163"," 0.27871638","-1.12310338","-0.12777514","-1.41188454","-0.89052407","-0.47107158","-2.57570528","-0.85632291"," 0.06026157"," 0.80000354"," 0.78920738"," 0.21762242"," 1.26560098"," 0.53459744"," 0.89411255"," 0.94040595"," 0.10523128"," 0.73050661"," 1.28201242"
"8.63_553.2183m/z","-0.27589532","-0.11058755","-1.47371981","-0.36244775","-0.52346472"," 0.15614599","-1.06318168"," 0.02280491"," 0.11757777"," 0.77652545"," 0.88940565","-2.47516422","-0.16546342","-0.35016546"," 1.36578975"," 0.39123445","-0.47820633"," 0.81541275"," 0.73149472"," 2.01190483"
"9.49_551.5255n"," 0.1528526"," 1.1010927","-1.1034458"," 0.4036005"," 0.6684127"," 0.1436848","-0.8154537"," 0.2924801"," 0.3497218"," 0.2730556"," 0.7597025"," 0.4865997"," 0.9973298"," 0.5995412"," 0.5613421","-1.5073780"," 0.3631840"," 0.1507836","-0.8109451","-3.0661610"
"8.69_551.2763m/z","-0.2795745","-0.1739398"," 0.2256329"," 1.3375542"," 0.6080961","-1.9897213"," 1.5898271","-0.6211377"," 0.7606391"," 1.5477324","-1.4737500","-0.9748465","-0.7694090"," 0.2538018"," 0.8501157"," 0.4956807"," 0.2674443","-1.3411602","-0.4473160"," 0.1343305"
"8.62_549.2955m/z","-0.7182384"," 0.4406832","-1.0507515","-0.2863618","-1.4518109","-1.5321123","-0.7002334","-1.1496637","-1.1591839","-0.3779959"," 0.7592598"," 0.5465765"," 0.3042331"," 1.4548181"," 0.3081567"," 0.8282204"," 0.9672215","-0.1527262"," 1.2442475"," 1.7256613"
"8.76_548.2980m/z","-0.96280775"," 0.23833440","-1.78807879","-0.47832035","-0.30624815","-1.51457001"," 0.74361645","-0.52773212"," 0.65438201"," 0.01315852","-1.12217075","-0.16397588","-0.30034956"," 1.23078560"," 1.10659647","-0.56461547"," 0.26025715"," 0.08650635"," 1.11923262"," 2.27599923"
"10.53_541.3213m/z"," 1.03744516"," 0.77067631"," 1.58583398"," 0.20930639"," 0.17610198","-0.05332062"," 1.28697077","-0.15427383"," 0.12875315","-2.20330223"," 0.12255252","-0.07973023"," 1.11762628","-0.06940123"," 0.09930518"," 0.51690471","-0.47805815","-0.57551129","-1.43220928","-2.00566957"
"8.62_541.3174n","-0.35522955"," 0.33656059","-1.11970783","-0.12880297","-1.68411561","-1.34909374","-0.43366050","-1.38504737","-1.03834404","-0.07188296"," 0.64831458"," 0.33525199","-0.29100233"," 1.42302309"," 0.47070705"," 0.98947870"," 1.01742298","-0.35389759"," 1.20292941"," 1.78709610"
"9.50_540.5352m/z"," 1.95542517","-0.84458180"," 0.02084058"," 0.54005664","-1.55648932","-0.44352434","-0.61847928","-0.99431188","-0.40114117","-1.60018832"," 1.48350876"," 0.38831922"," 0.61649458"," 0.10380784","-0.37501258","-0.78369621"," 1.96205408"," 0.11020765"," 0.17129027"," 0.26542011"
"9.37_540.4473m/z"," 0.65535165","-0.35821385","-0.80943920","-0.90401870","-1.19585641","-0.45736724","-0.75693416"," 0.07927587"," 2.67935675"," 1.12282050"," 0.46416706","-1.95299622"," 0.58410560"," 0.47110123","-0.10596107"," 0.80518213"," 0.38504955","-0.61011194","-0.56458150"," 0.46906993"
"9.18_540.4457m/z","-1.2125835"," 0.5327448"," 0.6187606","-0.3199967","-0.3710004","-1.1617159"," 0.3590581","-2.2216611","-0.1968102","-1.4233351"," 0.2305467"," 0.7780761"," 0.9743596"," 1.7289690","-0.2590211","-0.1069076"," 0.2937097"," 0.8959993","-0.6204668"," 1.4812744"
"9.17_540.1799n","-0.07476021","-0.10678059","-1.94951813","-0.41655119"," 0.57914875"," 1.09082111"," 1.22756455"," 1.23077284"," 1.17918279"," 0.93761921","-0.69524895","-2.59344223","-0.60811674","-0.34807599"," 0.58180900"," 0.15767658"," 0.07947567","-0.34543339"," 0.04793813"," 0.02591878"
